Sigla;Nome
GOVE11;IT NOW IGCT CI
GPAR3;CELGPAR ON
GPCP3;GPC PART ON
GPIV33;GP INVEST DR3
GRLV11;FII LOUVEIRA
GRND3;GRENDENE ON
GSFI11;FII GENERAL
GSGI34;GOLDMANSACHS DRN
GSHP3;GENERALSHOPP ON
GTWR11;FII G TOWERS
GUAR3;GUARARAPES ON
HAGA3;HAGA S/A ON
HAGA4;HAGA S/A PN
HALI34;HALLIBURTON DRN
HAPV3;HAPVIDA ON
HBOR3;HELBOR ON
HBTS5;HABITASUL PNA
HBTT11;FII HABITAT
HCRI11;FII CRIANCA
HCTR11;FII HECTARE
HETA4;HERCULES PN
HFOF11;FII HEDGEFOF
HGBS11;FII CSHGSHOP
HGCR11;FII CSHG CRI
HGLG11;FII CSHG LOG
HGPO11;FII CSHGPRIM
HGRE11;FII HG REAL
HGRU11;FII CSHG URB
HGTX3;CIA HERING ON
HMOC11;FII HEDMOCA
HOME34;HOME DEPOT DRN
HONB34;HONEYWELL DRN
HOOT4;HOTEIS OTHON PN
HPQB34;HP COMPANY DRN
HSHY34;HERSHEY CO DRN
HTMX11;FII HOTEL MX
HUSC11;FII H UNIMED
HYPE3;HYPERMARCAS ON
IBMB34;IBM DRN
IBOV11;IBOVESPA IBO
IDNT3;IDEIASNET ON
IDVL3;INDUSVAL ON
IDVL4;INDUSVAL PN
IGBR3;IGB S/A ON
IGTA3;IGUATEMI ON
INEP3;INEPAR ON
INEP4;INEPAR PN
IRBR3;IRBBRASIL RE ON
IRDM11;FII IRIDIUM
ISUS11;IT NOW ISE CI
ITLC34;INTEL DRN
ITSA3;ITAUSA ON
ITSA4;ITAUSA PN
ITUB3;ITAUUNIBANCO ON
ITUB4;ITAUUNIBANCO PN
IVVB11;ISHARE SP500 CI
JBDU11;J B DUARTE
JBDU12;J B DUARTE
JBDU3;J B DUARTE ON
JBDU4;J B DUARTE PN
JBSS3;JBS ON
JFEN3;JOAO FORTES ON
JHSF3;JHSF PART ON
JNJB34;JOHNSON DRN
JOPA3;JOSAPAR ON
JOPA4;JOSAPAR PN
JPMC34;JPMORGAN DRN
JPSA3;JEREISSATI
JRDM11;FII SHOPJSUL
JSLG3;JSL ON
JSRE11;FII JS REAL
KEPL3;KEPLER WEBER ON
KFOF11;FII KINEAFOF
KHCB34;KRAFT HEINZ DRN
KLBN11;KLABIN S/A UNT
KLBN3;KLABIN S/A ON
KLBN4;KLABIN S/A PN
KMBB34;KIMBERLY CL DRN
KNCR11;FII KINEA RI
KNHY11;FII KINEA HY
