Sigla,Nome,Setor,Mercado
FLMA11,FII S F LIMA,DBRs,BOVESPA
FLRP11,FII FLORIPA,DBRs,BOVESPA
FLRY3,FLEURY ON,Servicos Medico - Hospitalares,BOVESPA
FMOF11,FII MEMORIAL,DBRs,BOVESPA
FMXB34,FEMSA DRN,DBRs,BOVESPA
FOFT11,FII CSHGFOFT,DBRs,BOVESPA
FPAB11,FII A BRANCA,DBRs,BOVESPA
FRAS3,FRAS-LE ON,Material de Transporte,BOVESPA
FRIO3,METALFRIO ON,Máquinas e Equipamentos,BOVESPA
FRTA3,POMIFRUTAS ON,Agropecuária,BOVESPA
FSLR34,FIRST SOLAR DRN,DBRs,BOVESPA
FVBI11,FII VBI 4440,DBRs,BOVESPA
FVPQ11,FII V PARQUE,DBRs,BOVESPA
GBIO33,BIOTOSCANA DR3,Medicamentos e Outros Produtos,BOVESPA
GEOO34,GE DRN,DBRs,BOVESPA
GEPA3,GER PARANAP ON,Energia Elétrica,BOVESPA
GEPA4,GER PARANAP PN,Energia Elétrica,BOVESPA
GFSA3,GAFISA ON,Construção Civil,BOVESPA
GGBR3,GERDAU ON,Siderurgia e Metalurgia,BOVESPA
GGBR4,GERDAU PN,Siderurgia e Metalurgia,BOVESPA
GGRC11,FII GGRCOVEP,DBRs,BOVESPA
GILD34,GILEAD DRN,DBRs,BOVESPA
GMCO34,GENERAL MOT DRN,DBRs,BOVESPA
GNDI3,INTERMEDICA ON,Servicos Medico - Hospitalares,BOVESPA
GOAU3,GERDAU MET ON,Siderurgia e Metalurgia,BOVESPA
GOAU4,GERDAU MET PN,Siderurgia e Metalurgia,BOVESPA
GOGL34,ALPHABET DRN,DBRs,BOVESPA
GOGL35,ALPHABET DRN,DBRs,BOVESPA
GOLL4,GOL PN,Transporte,BOVESPA
GOVE11,IT NOW IGCT CI,DBRs,BOVESPA
GPAR3,CELGPAR ON,Energia Elétrica,BOVESPA
GPCP3,GPC PART ON,Químicos,BOVESPA
GPIV33,GP INVEST DR3,Gestão de Recursos e Investimentos,BOVESPA
GRLV11,FII LOUVEIRA,DBRs,BOVESPA
GRND3,GRENDENE ON,"Tecidos, Vestuário e Calçados",BOVESPA
GSFI11,FII GENERAL,DBRs,BOVESPA
GSGI34,GOLDMANSACHS DRN,DBRs,BOVESPA
GSHP3,GENERALSHOPP ON,Imoveis,BOVESPA
GTWR11,FII G TOWERS,DBRs,BOVESPA
GUAR3,GUARARAPES ON,"Tecidos, Vestuário e Calçados",BOVESPA
HAGA3,HAGA S/A ON,Construção e Engenharia,BOVESPA
HAGA4,HAGA S/A PN,Construção e Engenharia,BOVESPA
HALI34,HALLIBURTON DRN,DBRs,BOVESPA
HAPV3,HAPVIDA ON,Servicos Medico - Hospitalares,BOVESPA
HBOR3,HELBOR ON,Construção Civil,BOVESPA
HBTS5,HABITASUL PNA,Imoveis,BOVESPA
HBTT11,FII HABITAT,DBRs,BOVESPA
HCRI11,FII CRIANCA,DBRs,BOVESPA
HCTR11,FII HECTARE,DBRs,BOVESPA
HETA4,HERCULES PN,Utilidades Domésticas,BOVESPA
HFOF11,FII HEDGEFOF,DBRs,BOVESPA
HGBS11,FII CSHGSHOP,DBRs,BOVESPA
HGCR11,FII CSHG CRI,DBRs,BOVESPA
HGLG11,FII CSHG LOG,DBRs,BOVESPA
HGPO11,FII CSHGPRIM,DBRs,BOVESPA
HGRE11,FII HG REAL,DBRs,BOVESPA
HGRU11,FII CSHG URB,DBRs,BOVESPA
HGTX3,CIA HERING ON,"Tecidos, Vestuário e Calçados",BOVESPA
HMOC11,FII HEDMOCA,DBRs,BOVESPA
HOME34,HOME DEPOT DRN,DBRs,BOVESPA
HONB34,HONEYWELL DRN,DBRs,BOVESPA
HOOT4,HOTEIS OTHON PN,Hoteis e Restaurantes,BOVESPA
HPQB34,HP COMPANY DRN,DBRs,BOVESPA
HSHY34,HERSHEY CO DRN,DBRs,BOVESPA
HTMX11,FII HOTEL MX,DBRs,BOVESPA
HUSC11,FII H UNIMED,DBRs,BOVESPA
HYPE3,HYPERMARCAS ON,Remedios,BOVESPA
IBMB34,IBM DRN,DBRs,BOVESPA
IBOV11,IBOVESPA IBO,DBRs,BOVESPA
IDNT3,IDEIASNET ON,DBRs,BOVESPA
IDVL3,INDUSVAL ON,Bancos,BOVESPA
IDVL4,INDUSVAL PN,Bancos,BOVESPA
IGBR3,IGB S/A ON,Imoveis,BOVESPA
IGTA3,IGUATEMI ON,Imoveis,BOVESPA
INEP3,INEPAR ON,Máquinas e Equipamentos,BOVESPA
INEP4,INEPAR PN,Máquinas e Equipamentos,BOVESPA
IRBR3,IRBBRASIL RE ON,Seguradoras,BOVESPA
IRDM11,FII IRIDIUM,DBRs,BOVESPA
ISUS11,IT NOW ISE CI,DBRs,BOVESPA
ITLC34,INTEL DRN,DBRs,BOVESPA
ITSA3,ITAUSA ON,Bancos,BOVESPA
ITSA4,ITAUSA PN,Bancos,BOVESPA
ITUB3,ITAUUNIBANCO ON,Bancos,BOVESPA
ITUB4,ITAUUNIBANCO PN,Bancos,BOVESPA
IVVB11,ISHARE SP500 CI,DBRs,BOVESPA
JBDU11,J B DUARTE,Outros,BOVESPA
JBDU12,J B DUARTE,Outros,BOVESPA
JBDU3,J B DUARTE ON,Outros,BOVESPA
JBDU4,J B DUARTE PN,Outros,BOVESPA
JBSS3,JBS ON,Alimentos Processados,BOVESPA
JFEN3,JOAO FORTES ON,Construção Civil,BOVESPA
JHSF3,JHSF PART ON,Construção Civil,BOVESPA
JNJB34,JOHNSON DRN,DBRs,BOVESPA
JOPA3,JOSAPAR ON,Alimentos Processados,BOVESPA
JOPA4,JOSAPAR PN,Alimentos Processados,BOVESPA
JPMC34,JPMORGAN DRN,DBRs,BOVESPA
JPSA3,JEREISSATI,Imoveis,BOVESPA
JRDM11,FII SHOPJSUL,DBRs,BOVESPA
JSLG3,JSL ON,Transporte,BOVESPA
JSRE11,FII JS REAL,DBRs,BOVESPA
KEPL3,KEPLER WEBER ON,Máquinas e Equipamentos,BOVESPA
KFOF11,FII KINEAFOF,DBRs,BOVESPA
KHCB34,KRAFT HEINZ DRN,DBRs,BOVESPA
KLBN11,KLABIN S/A UNT,Madeira e Papel,BOVESPA
KLBN3,KLABIN S/A ON,Madeira e Papel,BOVESPA
KLBN4,KLABIN S/A PN,Madeira e Papel,BOVESPA
KMBB34,KIMBERLY CL DRN,DBRs,BOVESPA
KNCR11,FII KINEA RI,DBRs,BOVESPA
KNHY11,FII KINEA HY,DBRs,BOVESPA
KNIP11,FII KINEA IP,DBRs,BOVESPA
KNRE11,FII KII REAL,DBRs,BOVESPA
KNRI11,FII KINEA,DBRs,BOVESPA
KROT3,KROTON ON,DBRs,BOVESPA
LAME3,LOJAS AMERIC ON,eCommerce,BOVESPA
LAME4,LOJAS AMERIC PN,eCommerce,BOVESPA
LCAM3,LOCAMERICA ON,Aluguel de carros,BOVESPA
LEVE3,METAL LEVE ON,Automóveis e Motocicletas,BOVESPA
LIGT3,LIGHT S/A ON,Energia Elétrica,BOVESPA
LILY34,LILLY DRN,DBRs,BOVESPA
LINX3,LINX ON,Computadores e Equipamentos,BOVESPA
LIPR3,ELETROPAR ON,Energia Elétrica,BOVESPA
LIQO3,LIQ,DBRs,BOVESPA
LLIS3,LE LIS BLANC ON,"Tecidos, Vestuário e Calçados",BOVESPA
LMTB34,LOCKHEED DRN,DBRs,BOVESPA
LOFT11B,FII LOFT I,DBRs,BOVESPA
LOGG3,LOG COM PROP ON,Imoveis,BOVESPA
LOGN3,LOG-IN ON,Transporte,BOVESPA
LPSB3,LOPES BRASIL ON,Imoveis,BOVESPA
LREN3,LOJAS RENNER ON,"Tecidos, Vestuário e Calçados",BOVESPA
LUPA3,LUPATECH ON,"Petróleo, Gás e Biocombustíveis",BOVESPA
LUXM4,TREVISA PN,Transporte,BOVESPA
LVBI11,FII VBI LOG,DBRs,BOVESPA
MACY34,MACY S DRN,DBRs,BOVESPA
MALL11,FII MALLS BP,DBRs,BOVESPA
MAPT4,CEMEPE PN,Outros,BOVESPA
MATB11,IT NOW IMAT CI,DBRs,BOVESPA
MAXR11,FII MAX RET,DBRs,BOVESPA
MBRF11,FII MERC BR,DBRs,BOVESPA
MCDC34,MCDONALDS DRN,DBRs,BOVESPA
MDIA3,M.DIASBRANCO ON,Alimentos Processados,BOVESPA
MDLZ34,MONDELEZ INT DRN,DBRs,BOVESPA
MDTC34,MEDTRONIC DRN,DBRs,BOVESPA
MEAL3,IMC S/A ON,Hoteis e Restaurantes,BOVESPA
MEND5,MENDES JR PNA,DBRs,BOVESPA
MEND6,MENDES JR PNB,DBRs,BOVESPA
METB34,METLIFE INC DRN,DBRs,BOVESPA
MFII11,FII MERITO I,DBRs,BOVESPA
MGEL4,MANGELS INDL PN,Siderurgia e Metalurgia,BOVESPA
MGFF11,FII MOGNO,DBRs,BOVESPA
MGLU3,MAGAZ LUIZA ON,eCommerce,BOVESPA
MILS3,MILLS ON,Construção e Engenharia,BOVESPA
MMMC34,3M DRN,DBRs,BOVESPA
MMXM3,MMX MINER ON,Mineração,BOVESPA
MNDL3,MUNDIAL ON,"Tecidos, Vestuário e Calçados",BOVESPA
MNPR3,MINUPAR ON,Alimentos Processados,BOVESPA
MOAR3,MONT ARANHA ON,Holdings Diversificadas,BOVESPA
MOSC34,MOSAIC CO DRN,DBRs,BOVESPA
MOVI3,MOVIDA ON,Aluguel de carros,BOVESPA
MRCK34,MERCK DRN,DBRs,BOVESPA
MRFG3,MARFRIG ON,Alimentos Processados,BOVESPA
MRVE3,MRV ON,Construção Civil,BOVESPA
MSBR34,MORGAN STAN DRN,DBRs,BOVESPA
MSCD34,MASTERCARD DRN,DBRs,BOVESPA
MSFT34,MICROSOFT DRN,DBRs,BOVESPA
MSPA3,MELHOR SP ON,Madeira e Papel,BOVESPA
MTIG4,METAL IGUACU PN,Embalagens,BOVESPA
MTSA3,METISA ON,Máquinas e Equipamentos,BOVESPA
MTSA4,METISA PN,Máquinas e Equipamentos,BOVESPA
MULT3,MULTIPLAN ON,Imoveis,BOVESPA
MWET4,WETZEL S/A PN,Material de Transporte,BOVESPA
MXRF11,FII MAXI REN,DBRs,BOVESPA
MYPK3,IOCHP-MAXION ON,Automóveis e Motocicletas,BOVESPA
NAFG3,NADIR FIGUEI ON,DBRs,BOVESPA
NAFG4,NADIR FIGUEI PN,DBRs,BOVESPA
NATU3,NATURA ON,DBRs,BOVESPA
NEOE3,NEOENERGIA,Energia Elétrica,BOVESPA
NEOE3B,NEOENERGIA,Energia Elétrica,BOVESPA
NFLX34,NETFLIX DRN,DBRs,BOVESPA
NIKE34,NIKE DRN,DBRs,BOVESPA
NORD3,NORDON MET ON,Máquinas e Equipamentos,BOVESPA
NPAR11,FII NESTPAR,DBRs,BOVESPA
